program,sub_program,district_name,campus_id,campus,year,demog,subject,proficiency,rate
Alumni Network,NULL,UPLIFT EDUCATION,57803045,UPLIFT WILLIAMS PREPARATORY MIDDLE,2016,all,reading,meets,43
Alumni Network,NULL,UPLIFT EDUCATION,57803045,UPLIFT WILLIAMS PREPARATORY MIDDLE,2016,all,reading,approaches,81
Alumni Network,NULL,UPLIFT EDUCATION,57803048,UPLIFT PEAK PREPARATORY MIDDLE,2016,all,math,meets,36
Alumni Network,NULL,UPLIFT EDUCATION,57803048,UPLIFT PEAK PREPARATORY MIDDLE,2016,all,math,approaches,75
Alumni Network,NULL,UPLIFT EDUCATION,57803048,UPLIFT PEAK PREPARATORY MIDDLE,2016,all,reading,meets,34
Alumni Network,NULL,UPLIFT EDUCATION,57803048,UPLIFT PEAK PREPARATORY MIDDLE,2016,all,reading,approaches,76
ALP,C3,UPLIFT EDUCATION,57803102,UPLIFT EDUCATION - INFINITY PREPAR,2016,all,math,meets,36
ALP,C3,UPLIFT EDUCATION,57803102,UPLIFT EDUCATION - INFINITY PREPAR,2016,all,math,approaches,70
ALP,C3,UPLIFT EDUCATION,57803102,UPLIFT EDUCATION - INFINITY PREPAR,2016,all,reading,meets,42
ALP,C3,UPLIFT EDUCATION,57803102,UPLIFT EDUCATION - INFINITY PREPAR,2016,all,reading,approaches,70
ALP,C3,UPLIFT EDUCATION,57803105,UPLIFT PINNACLE PREPARATORY PRI,2016,all,math,meets,25
ALP,C3,UPLIFT EDUCATION,57803105,UPLIFT PINNACLE PREPARATORY PRI,2016,all,math,approaches,67
ALP,C3,UPLIFT EDUCATION,57803105,UPLIFT PINNACLE PREPARATORY PRI,2016,all,reading,meets,28
ALP,C3,UPLIFT EDUCATION,57803105,UPLIFT PINNACLE PREPARATORY PRI,2016,all,reading,approaches,65
ALP,C3,UPLIFT EDUCATION,57803109,UPLIFT SUMMIT INTERNATIONAL PRI,2016,all,math,meets,46
ALP,C3,UPLIFT EDUCATION,57803109,UPLIFT SUMMIT INTERNATIONAL PRI,2016,all,math,approaches,78
ALP,C3,UPLIFT EDUCATION,57803109,UPLIFT SUMMIT INTERNATIONAL PRI,2016,all,reading,meets,57
ALP,C3,UPLIFT EDUCATION,57803109,UPLIFT SUMMIT INTERNATIONAL PRI,2016,all,reading,approaches,83
